category,date,sales_millions
Electronics and appliance stores,2022-09-01,7722
Clothing and clothing accessories stores,2022-09-01,24693
Furniture and home furnishings stores,2022-10-01,11770
Electronics and appliance stores,2022-10-01,7242
Clothing and clothing accessories stores,2022-10-01,23409
Furniture and home furnishings stores,2022-10-01,11961
Electronics and appliance stores,2022-10-01,7639
Clothing and clothing accessories stores,2022-10-01,24713
Furniture and home furnishings stores,2022-11-01,12368
Electronics and appliance stores,2022-11-01,8326
Clothing and clothing accessories stores,2022-11-01,27000
Furniture and home furnishings stores,2022-11-01,11473
Electronics and appliance stores,2022-11-01,7044
Clothing and clothing accessories stores,2022-11-01,24512
Furniture and home furnishings stores,2022-12-01,12227
Electronics and appliance stores,2022-12-01,9694
Clothing and clothing accessories stores,2022-12-01,37932
Furniture and home furnishings stores,2022-12-01,11115
Electronics and appliance stores,2022-12-01,6890
Clothing and clothing accessories stores,2022-12-01,24019
Furniture and home furnishings stores,2023-01-01,11121
Electronics and appliance stores,2023-01-01,7396
Clothing and clothing accessories stores,2023-01-01,18427
Furniture and home furnishings stores,2023-01-01,12652
Electronics and appliance stores,2023-01-01,7876
Clothing and clothing accessories stores,2023-01-01,24950
Furniture and home furnishings stores,2023-02-01,10678
Electronics and appliance stores,2023-02-01,6732
Clothing and clothing accessories stores,2023-02-01,19902
Furniture and home furnishings stores,2023-02-01,11864
Electronics and appliance stores,2023-02-01,7641
Clothing and clothing accessories stores,2023-02-01,24660
Furniture and home furnishings stores,2023-03-01,12098
Electronics and appliance stores,2023-03-01,7368
Clothing and clothing accessories stores,2023-03-01,23641
Furniture and home furnishings stores,2023-03-01,11588
Electronics and appliance stores,2023-03-01,7651
Clothing and clothing accessories stores,2023-03-01,24410
Furniture and home furnishings stores,2023-04-01,10868
Electronics and appliance stores,2023-04-01,6569
Clothing and clothing accessories stores,2023-04-01,23422
Furniture and home furnishings stores,2023-04-01,11416
Electronics and appliance stores,2023-04-01,7533
Clothing and clothing accessories stores,2023-04-01,24368
Furniture and home furnishings stores,2023-05-01,11541
Electronics and appliance stores,2023-05-01,7145
Clothing and clothing accessories stores,2023-05-01,25160
Furniture and home furnishings stores,2023-05-01,11293
Electronics and appliance stores,2023-05-01,7521
Clothing and clothing accessories stores,2023-05-01,24290
Furniture and home furnishings stores,2023-06-01,11338
Electronics and appliance stores,2023-06-01,7222
Clothing and clothing accessories stores,2023-06-01,23528
Furniture and home furnishings stores,2023-06-01,11361
Electronics and appliance stores,2023-06-01,7610
Clothing and clothing accessories stores,2023-06-01,24402
Furniture and home furnishings stores,2023-07-01,10970
Electronics and appliance stores,2023-07-01,7072
Clothing and clothing accessories stores,2023-07-01,24075
Furniture and home furnishings stores,2023-07-01,11194
Electronics and appliance stores,2023-07-01,7436
Clothing and clothing accessories stores,2023-07-01,24718
Furniture and home furnishings stores,2023-08-01,11726
Electronics and appliance stores,2023-08-01,7541
Clothing and clothing accessories stores,2023-08-01,25772
Furniture and home furnishings stores,2023-08-01,11178
Electronics and appliance stores,2023-08-01,7571
Clothing and clothing accessories stores,2023-08-01,25104
Furniture and home furnishings stores,2023-09-01,11092
Electronics and appliance stores,2023-09-01,7393
Clothing and clothing accessories stores,2023-09-01,22573
Furniture and home furnishings stores,2023-09-01,10971
Electronics and appliance stores,2023-09-01,7661
Clothing and clothing accessories stores,2023-09-01,24811
Furniture and home furnishings stores,2023-10-01,10707
